Technique Rank,Technique Name,Technique Number,Sub-Technique & Number,Atomic Red Team Test,Red Canary Report Details,Reference Reports,Notes
1,Command and Scripting Interpreter,T1059,T1059.001 - PowerShell,Atomic Test #21 - PowerUp Invoke-AllChecks: https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1059.001/T1059.001.md#atomic-test-21---powerup-invoke-allchecks,https://redcanary.com/threat-detection-report/techniques/powershell/,,
1,Command and Scripting Interpreter,T1059,T1059.001 - PowerShell,"Atomic Test #11 - PowerShell Fileless Script Execution:  
https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1059.001/T1059.001.md#atomic-test-11---powershell-fileless-script-execution",https://redcanary.com/threat-detection-report/techniques/powershell/,https://www.trendmicro.com/vinfo/us/security/news/cybercrime-and-digital-threats/tracking-detecting-and-thwarting-powershell-based-malware-and-attacks,
1,Command and Scripting Interpreter,T1059,T1059.003 - Windows Command Shell,Atomic Test #4 - Simulate BlackByte Ransomware Print Bombing Atomic Test https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1059.003/T1059.003.md#atomic-test-4---simulate-blackbyte-ransomware-print-bombing,https://redcanary.com/threat-detection-report/techniques/command-scripting-interpreter/,https://blog.talosintelligence.com/2022/05/the-blackbyte-ransomware-group-is.html,"Detecting this wont stop/prevent an attack, but prevent further fear and disruption to your organization in the event of a ransomware attack. While not unique to Blackbyte, you can read more about their printbombing and other techniques from Red Canary: https://redcanary.com/blog/blackbyte-ransomware/ and some context https://attack.mitre.org/techniques/T1486/   Command:  cmd /c ""for /l %x in (1,1,20) do start wordpad.exe /p $env:temp\T1059_003note.txt"" | out-null"
2,Signed Binary Proxy Execution,T1218,T1218.011 Rundll32,Atomic Test #1 - Rundll32 execute JavaScript Remote Payload With GetObject   https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1218.011/T1218.011.md#atomic-test-1---rundll32-execute-javascript-remote-payload-with-getobject,"""Rundll32 is a native Windows process and a functionally necessary component of the Windows operating system that canâ€™t be blocked or disabled without breaking things. Adversaries typically abuse Rundll32 because it makes it hard to differentiate malicious activity from normal operations. From a practical standpoint, Rundll32 enables the execution of dynamic link libraries (DLL). ""   https://redcanary.com/threat-detection-report/techniques/rundll32/",https://isc.sans.edu/diary/From+RunDLL32+to+JavaScript+then+PowerShell/27428,
2,Signed Binary Proxy Execution,T1218,T1218.011 Rundll32,Atomic Test #7 - Execution of HTA and VBS Files using Rundll32 and URL.dll  https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1218.011/T1218.011.md#atomic-test-7---execution-of-hta-and-vbs-files-using-rundll32-and-urldll,https://redcanary.com/threat-detection-report/techniques/rundll32/,https://www.hexacorn.com/blog/2020/02/14/run-dll-walk-this-way/,IcedID & Trickbot
2,Signed Binary Proxy Execution,T1218,T1218.011 Rundll32,Atomic Test #9 - Execution of non-dll using rundll32.exe    https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1218.011/T1218.011.md#atomic-test-9---execution-of-non-dll-using-rundll32exe        ,https://redcanary.com/threat-detection-report/techniques/rundll32/,https://docs.splunksecurityessentials.com/content-detail/suspicious_rundll32_startw/,StartW  (Noticed with Cobalt Strike)
3,Windows Management Instrumentation,T1047,N/A   ,Atomic Test #1 - WMI Reconnaissance Users     https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1047/T1047.md#atomic-test-1---wmi-reconnaissance-users,"""What makes WMI useful to administrators also makes it attractive to adversaries. Note that because WMI can carry out these tasks on both local and remote systems, adversaries can use it for lateral movement. Furthermore, because WMI is routinely used for benign purposes, malicious activity often blends in with legitimate activity."" https://redcanary.com/threat-detection-report/techniques/windows-management-instrumentation/","https://www.youtube.com/watch?v=0SjMgnGwpq8    Matt Graeber
@mattifestation",
3,Windows Management Instrumentation,T1047,N/A    ,Atomic Test #3 - WMI Reconnaissance Software   https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1047/T1047.md#atomic-test-3---wmi-reconnaissance-software,https://redcanary.com/threat-detection-report/techniques/windows-management-instrumentation/,,
3,Windows Management Instrumentation,T1047,N/A    ,Atomic Test #4 - WMI Reconnaissance List Remote Services  https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1047/T1047.md#atomic-test-4---wmi-reconnaissance-list-remote-services,https://redcanary.com/threat-detection-report/techniques/windows-management-instrumentation/,,
3,Windows Management Instrumentation,T1047,N/A    ,Atomic Test #6 - WMI Execute Remote Process  https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1047/T1047.md#atomic-test-6---wmi-execute-remote-process,https://redcanary.com/threat-detection-report/techniques/windows-management-instrumentation/,,*** You need a remote host you can execute on***
3,Windows Management Instrumentation,T1047,N/A  ,Atomic Test #7 - Create a Process using WMI Query and an Encoded Command   https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1047/T1047.md#atomic-test-7---create-a-process-using-wmi-query-and-an-encoded-command,https://redcanary.com/threat-detection-report/techniques/windows-management-instrumentation/,https://www.microsoft.com/security/blog/2020/12/18/analyzing-solorigate-the-compromised-dll-file-that-started-a-sophisticated-cyberattack-and-how-microsoft-defender-helps-protect/,
3,Windows Management Instrumentation,T1047,N/A,Atomic Test #9 - WMI Execute rundll32  https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1047/T1047.md#atomic-test-9---wmi-execute-rundll32,https://redcanary.com/threat-detection-report/techniques/windows-management-instrumentation/,,
3,Windows Management Instrumentation,T1047,N/A ,Atomic Test #10 - Application uninstall using WMIC  https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1047/T1047.md#atomic-test-10---application-uninstall-using-wmic,"""Emulates uninstalling applications using WMIC. This method only works if the product was installed with an msi file. APTs have been seen using this to uninstall security products.""  https://redcanary.com/threat-detection-report/techniques/windows-management-instrumentation/",,
4,OS Credential Dumping,T1003,T1003.001 LSASS Memory,Atomic Test #1 - Dump LSASS.exe Memory using ProcDump   https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.001/T1003.001.md#atomic-test-1---dump-lsassexe-memory-using-procdump ,https://redcanary.com/threat-detection-report/techniques/lsass-memory/,https://attack.mitre.org/techniques/T1003/001/,
4,OS Credential Dumping,T1003,T1003.001 LSASS Memory,Atomic Test #2 - Dump LSASS.exe Memory using comsvcs.dll   https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.001/T1003.001.md#attack-commands-run-with-powershell--elevation-required-eg-root-or-admin,https://redcanary.com/threat-detection-report/techniques/lsass-memory/,https://www.elastic.co/guide/en/security/current/lsass-memory-dump-creation.html,
4,OS Credential Dumping,T1003,T1003.001 LSASS Memory,Atomic Test #5 - Dump LSASS.exe Memory using Windows Task Manager   https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.001/T1003.001.md#atomic-test-5---dump-lsassexe-memory-using-windows-task-manager,https://redcanary.com/threat-detection-report/techniques/lsass-memory/,,
4,OS Credential Dumping,T1003,T1003.001 LSASS Memory,"Atomic Test #6 - Offline Credential Theft With Mimikatz
https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1003.001/T1003.001.md#atomic-test-6---offline-credential-theft-with-mimikatz",https://redcanary.com/threat-detection-report/techniques/lsass-memory/,https://redcanary.com/threat-detection-report/threats/mimikatz/  |  https://github.com/gentilkiwi/mimikatz/wiki,
5,Ingress Tool Transfer,T1105,N/A,Atomic Test #7 - certutil download (urlcache)   https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1105/T1105.md#atomic-test-7---certutil-download-urlcache,"The ingress tool transfer section of the report is very well detailed, with reccommended atomics to test. It is highly suggested that this section of the report gets anaylzed for detection tips and understanding this technique.   https://redcanary.com/threat-detection-report/techniques/ingress-tool-transfer/",https://research.splunk.com/stories/ingress_tool_transfer/,
5,Ingress Tool Transfer,T1105,N/A,Atomic Test #10 - Windows - PowerShell Download  https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1105/T1105.md#atomic-test-10---windows---powershell-download ,,,
6,Process Injection,T1055,T1055.001 Dynamic-link Library Injection,Atomic Test #1 - Process Injection via mavinject.exe  https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1055.001/T1055.001.md#atomic-test-1---process-injection-via-mavinjectexe  ,"This technique can get a bit complex. It is highly reccomened to run this on a lab environment first. Read through the author's intent and src materials. The threat report states that its mapping mainly to the parent technique, however, we added a sub test for simplicity. https://redcanary.com/threat-detection-report/techniques/process-injection/    view the subtechniques here: https://attack.mitre.org/techniques/T1055/      ",https://attack.mitre.org/techniques/T1218/013/  |  https://lolbas-project.github.io/lolbas/Binaries/Mavinject/,
7,Scheduled Task/Job,T1053,T1053.005 Scheduled Task,Atomic Test #2 - Scheduled task Local  https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1053.005/T1053.005.md#atomic-test-2---scheduled-task-local,https://redcanary.com/threat-detection-report/techniques/scheduled-task/,,
7,Scheduled Task/Job,T1053,T1053.005 Scheduled Task,Atomic Test #3 - Scheduled task Remote https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1053.005/T1053.005.md#atomic-test-3---scheduled-task-remote ,https://redcanary.com/threat-detection-report/techniques/scheduled-task/,,
7,Scheduled Task/Job,T1053,T1053.005 Scheduled Task,Atomic Test #7 - Scheduled Task Executing Base64 Encoded Commands From Registry  https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1053.005/T1053.005.md#atomic-test-7---scheduled-task-executing-base64-encoded-commands-from-registry,https://redcanary.com/threat-detection-report/techniques/scheduled-task/,https://thedfirreport.com/2022/02/07/qbot-likes-to-move-it-move-it/,Qakbot
8,Obfuscated Files or Information,T1027,N/A,"Atomic Test #3 - Execute base64-encoded PowerShell from Windows Registry  https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1027/T1027.md#atomic-test-3---execute-base64-encoded-powershell-from-windows-registry 
",https://redcanary.com/threat-detection-report/techniques/obfuscated-files-information/,,
8,Obfuscated Files or Information,T1027,N/A,Atomic Test #4 - Execution from Compressed File  https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1027/T1027.md#atomic-test-4---execution-from-compressed-file,https://redcanary.com/threat-detection-report/techniques/obfuscated-files-information/,,
9,Masquerading,T1036,T1036.003 Rename System Utilities,"Atomic Test #1 - Masquerading as Windows LSASS process   
https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1036.003/T1036.003.md#atomic-test-1---masquerading-as-windows-lsass-process",https://redcanary.com/threat-detection-report/techniques/masquerading/,https://attack.mitre.org/techniques/T1036/,
9,Masquerading,T1036,T1036.003 Rename System Utilities,Atomic Test #5 - Masquerading - powershell.exe running as taskhostw.exe  https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1036.003/T1036.003.md#atomic-test-5---masquerading---powershellexe-running-as-taskhostwexe,https://redcanary.com/threat-detection-report/techniques/masquerading/,,
10,Hijack Execution Flow,T1574,"T1574.001  DLL Search Order Hijacking
",Atomic Test #1 - DLL Search Order Hijacking - amsi.dll   https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1574.001/T1574.001.md,https://redcanary.com/threat-detection-report/techniques/hijack-execution-flow/,,
10,Hijack Execution Flow,T1574,T1574.009  Path Interception by Unquoted Path,Atomic Test #1 - Execution of program.exe as service with unquoted service path   https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1574.009/T1574.009.md#atomic-test-1---execution-of-programexe-as-service-with-unquoted-service-path,https://redcanary.com/threat-detection-report/techniques/hijack-execution-flow/,,